id,name,facebook_number,Category_id
1,Fox News,15704546335,1
2,Huffington Post,18468761129,1
3,Bleacher Report,7331091005,1
4,CNN Breaking News,5550296508,1
5,CNN,5550296508,1
6,BBC World News,228735667216,1
7,New York Times,5281959998,1
8,ABC News,86680728811,1
9,NBC News,155869377766434,1
10,CBS Sports,25902406772,2
11,TIME,10606591490,2
12,National Geographic,23497828950,2
13,IGN.com,59685491632,2
14,NPR,10643211755,2
15,PopSugar,70699574823,2
16,BuzzSugar,70699574823,2
17,The Business Insider,20446254070,3
18,GameSpot,13892765435,3
19,Huffington Post Politics,56845382910,3
20,The Onion,20950654496,3
21,The Guardian,10513336322,3
22,ESPN,104266592953439,3
23,CBS News,131459315949,3
24,CNN International,18793419640,4
25,USA TODAY,13652355666,4
26,Yahoo! News,338028696036,4
27,People Magazine,95926963131,4
28,Entertainment Weekly,52150999700,4
29,Mashable,18807449704,4
30,Now Magazine,267087179034,4
31,FOX Sports,112638779551,5
32,World News with Diane Sawyer,214832449817,5
33,CNBC,97212224368,5
34,POLITICO,62317591679,5
35,TMZ,208421665712,5
36,The Economist,6013004059,5
37,CNET,7155422274,5
38,Life & Style Weekly,229184533343,5
39,E! Online,89033370735,5
40,Wall Street Journal,8304333127,6
41,Entertainment Tonight,106843036179,6
42,The Young Turks,210277954204,6
43,TechCrunch,8062627951,6
44,US Magazine,9034820804,6
45,Perez Hilton,116397088405021,6
46,The Hollywood Reporter,14425952749,6
47,IMDb,15925638948,6
48,Sports Illustrated,14553116366,2
49,Reuters,114050161948682,2
50,Wired,19440638720,2
51,Gawker,8376212628,2
52,The Next Web,106976563522,2
53,MAXIM Magazine,46440585142,2
54,InTouch Weekly,75932763901,1
55,NBC Sports,148133088575385,1
56,PopEater,70072372362,1
57,Yahoo! Finance,128015890542670,1
58,The Baltimore Sun,9299179711,1
59,Variety,12616252196,5
60,Sporting News,112585963017,5
61,ComingSoon.net,157062725807,5
62,Fandango,6877151199,5
63,Yahoo! Sports,37510781596,5
64,Yahoo! Movies,73756409831,5
65,The Hollywood Gossip,51771366570,5
66,Breaking News,206703882302,3
67,omg! from Yahoo!,107952415910993,3
68,The Seattle Times,38472826214,3
69,Newsweek,18343191100,3
70,Associated Press (AP),249655421622,3
71,OK Magazine,121798958156,3
72,Rotten Tomatoes,7899892356,3
73,Radar Online,376279216711,3
74,Sports on Facebook,359129892456,4
75,Washington Post Politics,374111579728,4
76,Democracy UK on Facebook,370142048888,4
77,Extra,26676834754,4
78,VentureBeat,7419689078,4
79,TheWrap,48941893663,4
80,TV Guide,80415657792,5
81,Celebs on Facebook,81557462601,5
82,Celeb Bistro,118992931477167,5
83,The Superficial,152788264431,5
84,Facebook and Government,129228016794,5
85,U.S. Politics on Facebook,129228016794,5
86,Congress on Facebook,129228016794,5
87,AllFacebook.com,6087692633,3
88,Facebook Washington DC,183477870817,2
89,World Cup on ESPN,161531382040,2
90,GameTrailers.com,154253624284,2
91,SocialTimes,7844589738,2
92,InsideFacebook.com,7844589738,2
93,ReadWriteWeb,65491870325,2
94,Entertainment News International,85507972707,2
95,National Enquirer,111465516407,1
96,The Wall Street Journal Report With Maria Bartiromo,174045242456,1
97,UGO Entertainment,44296099908,1
98,Colonel Tribune (Chicago Tribune),71279375559,1
99,Star Magazine (UK),245187215500755,1
100,Politics Daily,292878214156325,1
101,Star Magazine,100495489991067,1
